;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
318; SEAT Altea I Рестайлинг  ; 2009 ; 360 000 ; 140 000 ;" Красноярск
"; 16 апреля;  ; 2.0 л; 150 л.с.; автомат; бензин; АИ-95; передний; 10.1 с; Испания; 5; 5; 4282; 1768; 1576; 2578; 409/1320; 1415; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 203; 10.1; АИ-95; переднее, поперечное; 1984; нет; 150 / 110 при 6000; 200 при 3500; рядное; 4; 4; непосредственный впрыск (прямой); 11.5; 82.5 × 92.8
319; SEAT Cordoba I Рестайлинг  ; 2002 ; 100 000 ; 196 000 ;" Красноярск
"; 21 марта;  ; 1.4 л; 60 л.с.; механика; бензин; АИ-95; передний; 15.8 с; Испания; 4; 5; 4163; 1640; 1424; 2443; 455/762; 1018; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 157; 15.8; АИ-95; переднее, поперечное; 1390; нет; 60 / 44 при 4700; 116 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 10.7; 76.5 × 75.6
320; SEAT Ibiza IV  ; 2011 ; 400 000 ; 123 000 ;" Красноярск
"; 18 марта; 4,5; 1.2 л; 105 л.с.; механика; бензин; АИ-95; передний; 9.8 с; Испания; 5; 5; 3977; 1698; 1441; 2460; 267/960; 1090; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 190; 9.8; АИ-95; переднее, поперечное; 1197; турбонаддув; 105 / 77 при 5000; 175 при 1550 – 4100; рядное; 4; 2; непосредственный впрыск (прямой); 10; 71 × 75.6
321; SEAT Altea I XL  ; 2008 ; 140 000 ; 180 000 ;" Красноярск
"; 15 марта; 4,6; 1.6 л; 102 л.с.; механика; бензин; АИ-95; передний; 13 с; Испания; 5; 5; 4467; 1768; 1518; 2578; 532; 1359; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 181; 13; АИ-95; переднее, поперечное; 1595; нет; 102 / 75 при 5600; 148 при 3800; рядное; 4; 2; распределенный впрыск (многоточечный); 10.5; 81 × 77.4
322; SEAT Ibiza IV Рестайлинг  ; 2012 ; 500 000 ; 60 000 ;" Красноярск
"; 13 марта; 4,6; 1.2 л; 105 л.с.; робот; бензин; АИ-95; передний; 9.7 с; Испания; 3; 5; 4043; 1693; 1428; 2469; 284; 1115; робот; 7; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 190; 9.7; АИ-95; переднее, поперечное; 1197; турбонаддув; 105 / 77 при 5000; 175 при 1550 – 4100; рядное; 4; 2; непосредственный впрыск (прямой); 10; 71 × 75.6
323; SEAT Leon II Рестайлинг  ; 2012 ; 320 000 ; 161 118 ;" Красноярск
"; 4 марта; 4,8; 1.2 л; 105 л.с.; механика; бензин; АИ-95; передний; 10.9 с; Испания; 5; 5; 4315; 1768; 1455; 2578; 341/1166; 1275; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 187; 10.9; АИ-95; переднее, поперечное; 1197; турбонаддув; 105 / 77 при 5000; 175 при 1550 – 4100; рядное; 4; 2; непосредственный впрыск (прямой); 10; 71 × 75.6
324; SEAT Leon III  ; 2013 ; 660 000 ; 168 000 ;" Красноярск
"; 1 марта; 4,6; 1.4 л; 140 л.с.; механика; бензин; АИ-95; передний; 8.2 с; Испания; 5; 5; 4263; 1816; 1459; 2636; 380; 1231; механика; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 211; 8.2; АИ-95; переднее, поперечное; 1395; турбонаддув; 140 / 103 при 4500 – 6000; 250 при 1500 – 3500; рядное; 4; 4; непосредственный впрыск (прямой); 10.5; 74.5 × 80
325; SEAT Alhambra I Рестайлинг  ; 2001 ; 300 000 ; 286 000 ;" Красноярск
"; 26 февраля; 5,0; 1.9 л; 115 л.с.; автомат; дизель; ДТ; передний; 15.1 с; Испания; 5; 5, 7; 4634; 1810; 1762; 2835; 256/2610;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 178; 15.1; ДТ; переднее, поперечное; 1896; турбонаддув; 115 / 85 при 4000; 310 при 1900; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 18; 79.5 × 95.5
326; SEAT Cordoba I  ; 1997 ; 100 000 ; 310 000 ;" Красноярск
"; 10 февраля; 3,7; 1.6 л; 75 л.с.; механика; бензин; АИ-95; передний; 12.5 с; Испания; 4; 5; 4109; 1640; 1408; 2440; 455/802; 955; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 170; 12.5; АИ-95; переднее, поперечное; 1598; нет; 75 / 55 при 4600; 135 при 2800; рядное; 4; 2; распределенный впрыск (многоточечный); 9.8; 76.5 × 86.9
327; SEAT Toledo I  ; 1991 ; 60 000 ; 200 000 ;" Красноярск
"; 25 сентября 2017; 3,7; 1.6 л; 72 л.с.; механика; бензин; АИ-95; передний; 13.3 с; Испания; 4; 5; 4321; 1662; 1424; 2471; 550/1360; 985; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; барабанные; 170; 13.3; АИ-95; переднее, поперечное; 1595; нет; 72 / 53 при 5200; 124 при 2750; рядное; 4; 2; центральный впрыск (моновпрыск или одноточечный); 9; 81 × 77.4
328; SEAT Leon II Рестайлинг  ; 2010 ; 380 000 ; 96 105 ;" Красноярск
"; 19 апреля; 4,8; 1.4 л; 125 л.с.; механика; бензин; АИ-95; передний; 9.8 с; Испания; 5; 5; 4315; 1768; 1455; 2578; 341/1166; 1324; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 197; 9.8; АИ-95; переднее, поперечное; 1390; турбонаддув; 125 / 92 при 5000; 200 при 1500 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10; 76.5 × 75.6
329; SEAT Leon II Рестайлинг  ; 2012 ; 645 000 ; 174 000 ;" Красноярск
"; 16 апреля; 4,8; 1.8 л; 160 л.с.; робот; бензин; АИ-95; передний; 7.8 с; Испания; 5; 5; 4315; 1768; 1455; 2578; 341/1166; 1370; робот; 7; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 213; 7.8; АИ-95; переднее, поперечное; 1798; турбонаддув; 160 / 118 при 4500 – 6200; 250 при 1500 – 4500; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 82.5 × 84.2
